publish_at_jst,session,video_id,word,T,tweet,shorts_url
2026-06-23T07:30:00+09:00,morning-07:30,8H2BGeYZJMI,ebullient,T13,"「ebullient」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/8H2BGeYZJMI

#英単語 #英語学習",https://www.youtube.com/shorts/8H2BGeYZJMI
2026-06-23T22:00:00+09:00,night-22:00,J1ysN1z5MqE,meticulous,T13,"「meticulous」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/J1ysN1z5MqE

#英単語 #英語学習",https://www.youtube.com/shorts/J1ysN1z5MqE
2026-06-24T07:30:00+09:00,morning-07:30,GPq6kwv02AQ,effusive,T01,"「effusive」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/GPq6kwv02AQ

#英単語 #英語学習",https://www.youtube.com/shorts/GPq6kwv02AQ
2026-06-24T22:00:00+09:00,night-22:00,e4HfxM9M_fc,nebulous,T01,"「nebulous」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/e4HfxM9M_fc

#英単語 #英語学習",https://www.youtube.com/shorts/e4HfxM9M_fc
2026-06-25T07:30:00+09:00,morning-07:30,phu6y65VKnw,esoteric,T04,"「esoteric」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/phu6y65VKnw

#英単語 #英語学習",https://www.youtube.com/shorts/phu6y65VKnw
2026-06-25T22:00:00+09:00,night-22:00,pRWbh42IgJs,abstruse,T13,"「abstruse」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/pRWbh42IgJs

#英単語 #英語学習",https://www.youtube.com/shorts/pRWbh42IgJs
2026-06-26T07:30:00+09:00,morning-07:30,fmvGjkNSmFM,extol,T13,"「extol」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/fmvGjkNSmFM

#英単語 #英語学習",https://www.youtube.com/shorts/fmvGjkNSmFM
2026-06-26T22:00:00+09:00,night-22:00,qJESO9DxGLA,acrimonious,T01,"「acrimonious」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/qJESO9DxGLA

#英単語 #英語学習",https://www.youtube.com/shorts/qJESO9DxGLA
2026-06-27T07:30:00+09:00,morning-07:30,9eWgfEXfncA,facetious,T01,"「facetious」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/9eWgfEXfncA

#英単語 #英語学習",https://www.youtube.com/shorts/9eWgfEXfncA
2026-06-27T22:00:00+09:00,night-22:00,tcSfBMPgnQM,assiduous,T04,"「assiduous」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/tcSfBMPgnQM

#英単語 #英語学習",https://www.youtube.com/shorts/tcSfBMPgnQM
2026-06-28T07:30:00+09:00,morning-07:30,h0g0w514bBc,fastidious,T04,"「fastidious」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/h0g0w514bBc

#英単語 #英語学習",https://www.youtube.com/shorts/h0g0w514bBc
2026-06-28T22:00:00+09:00,night-22:00,K7lNhGIIMZg,austere,T13,"「austere」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/K7lNhGIIMZg

#英単語 #英語学習",https://www.youtube.com/shorts/K7lNhGIIMZg
2026-06-29T07:30:00+09:00,morning-07:30,qWSM26FIIXM,furtive,T13,"「furtive」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/qWSM26FIIXM

#英単語 #英語学習",https://www.youtube.com/shorts/qWSM26FIIXM
2026-06-29T22:00:00+09:00,night-22:00,4WGYQHchj2w,nonchalant,T01,"「nonchalant」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/4WGYQHchj2w

#英単語 #英語学習",https://www.youtube.com/shorts/4WGYQHchj2w
2026-06-30T07:30:00+09:00,morning-07:30,8eonsb2ED2s,gregarious,T01,"「gregarious」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/8eonsb2ED2s

#英単語 #英語学習",https://www.youtube.com/shorts/8eonsb2ED2s
2026-06-30T22:00:00+09:00,night-22:00,7cIhntTKQJ8,capricious,T04,"「capricious」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/7cIhntTKQJ8

#英単語 #英語学習",https://www.youtube.com/shorts/7cIhntTKQJ8
2026-07-01T07:30:00+09:00,morning-07:30,T58nszxKL_s,haughty,T04,"「haughty」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/T58nszxKL_s

#英単語 #英語学習",https://www.youtube.com/shorts/T58nszxKL_s
2026-07-01T22:00:00+09:00,night-22:00,3BJmdSPCvI4,clandestine,T13,"「clandestine」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/3BJmdSPCvI4

#英単語 #英語学習",https://www.youtube.com/shorts/3BJmdSPCvI4
2026-07-02T07:30:00+09:00,morning-07:30,2N4hVQykoQU,imperturbable,T13,"「imperturbable」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/2N4hVQykoQU

#英単語 #英語学習",https://www.youtube.com/shorts/2N4hVQykoQU
2026-07-02T22:00:00+09:00,night-22:00,YgpXQtgj0_c,cogent,T01,"「cogent」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/YgpXQtgj0_c

#英単語 #英語学習",https://www.youtube.com/shorts/YgpXQtgj0_c
2026-07-03T07:30:00+09:00,morning-07:30,0CSdvypgFuo,incessant,T01,"「incessant」
これ、読める?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/0CSdvypgFuo

#英単語 #英語学習",https://www.youtube.com/shorts/0CSdvypgFuo
2026-07-03T22:00:00+09:00,night-22:00,2QtuqQ9uYto,convivial,T04,"「convivial」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/2QtuqQ9uYto

#英単語 #英語学習",https://www.youtube.com/shorts/2QtuqQ9uYto
2026-07-04T07:30:00+09:00,morning-07:30,5VTn49zztq0,innocuous,T04,"「innocuous」
意味、わかる?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/5VTn49zztq0

#英単語 #英語学習",https://www.youtube.com/shorts/5VTn49zztq0
2026-07-04T22:00:00+09:00,night-22:00,dX9v7ELNw8M,copious,T13,"「copious」
見た瞬間に意味言える?

意味とコツは動画で30秒
→ https://www.youtube.com/shorts/dX9v7ELNw8M

#英単語 #英語学習",https://www.youtube.com/shorts/dX9v7ELNw8M
