226番。ペットボトルはあらってラベルをはがせば recycle でき、あたらしいボトルやふくにうまれかわる。
227番。マイバッグをもちあるくだけで、レジふくろのごみをねんかん300枚も reduce できるけいさんになる。
228番。せんかをのがれた refugee のかぞくが、こっきょうをこえてキャンプにたどりつくようすをニュースがつたえていた。
229番。たいいくさいのさいしゅうしゅもくはクラスたいこう relay 。バトンがさいしゅうそうしゃにわたったしゅんかん、おうえんせきはそうだちになった。
230番。このきょくをきくと、しょうがっこうのうんどうかいを remind される。にゅうじょうこうしんでずっとながれていたからだ。
231番。しょくばたいけんの report を3枚にまとめてていしゅつした。まなんだことのらんがいちばんながくなった。
232番。かのじょのじゆう research のテーマは「アリのぎょうれつはなぜみだれないか」。3週間のかんさつきろくがそえられていた。
233番。ジャムのあきびんは、あらってペンたてやこものいれとして reuse している。かたちがかわいくてすてられない。
234番。ほじょわなしでじてんしゃに ride できたにちのことはいまもおぼえている。ちちがうしろをそっとはなしていた。
235番。おおゆきのあさ、 roof からゆきのかたまりがドサッとおちるおとでめがさめた。のきさきには1メートルのつららがさがっていた。
236番。せかいさいだいのこくどをもつ Russia は、ひがしのはじとにしのはじでじさが10時間もある。
237番。おぼれかけたこどもを、かんしいんが10秒でおよぎついて save した。はまべははくしゅにつつまれた。
238番。えいがのラストの scene では、すすりなきがかんないのあちこちからきこえた。
239番。ノーベルしょうをうけた scientist は、「じっけんの99%はしっぱいだった」とわらいながらかたった。
240番。えいがかんの seat をよやくするとき、がめんぜんたいがみやすいこうほうのちゅうおうをえらんだ。
241番。スーパーのれいとうしょくひんの section はみせのおくにあり、アイスをえらぶだけでからだがひえてくる。
242番。このてんぼうだいからは、はれたにちには100キロさきのふじさんまで seen できるとあんないばんにかかれていた。
243番。けんのせんばつチームに、わたしたちのがっこうから2人が select された。100人のこうほからえらばれた2人だ。
244番。よみおえたまんが30冊をふるほんやに sell したら、おもったよりたかくかいとってもらえた。
245番。かんせいしたしょうたいじょうを、クラスぜんいんのいえにゆうびんで sent した。へんじは1週間でそろった。
246番。ふざけていたかれがきゅうに serious なかおになり、「じつはてんこうすることになった」とうちあけた。
247番。ぶんかさいのきっさてんで、わたしはエプロンすがたでこうちゃとクッキーをおきゃくさんに serve するかかりだった。
248番。もってきたおかしをはんの4人で share した。1人2個ずつ、さいごの1個はじゃんけんできめた。
249番。みがきあげたろうかは、あさひをうけてかがみのように shine していた。ぞうきんがけ1時間のせいかだ。
250番。10年れんようしていたにっきちょうがはいばんになるとしったときの shock はおおきく、てんとうざいこを3冊かいこんだ。
251番。のこり3秒、かれはスリーポイントラインから shoot した。ボールはブザーとどうじにネットをゆらした。
252番。ゴールすみにきまったあの shot は、こんたいかいのベストゴールとしてじもとしにもしゃしんがのった。
253番。びじゅつかんのとくべつてんでは、ふだんこうかいされないさくしゃのスケッチまで shown されていた。
254番。いもうとはしらないにんのまえではははのあとろにかくれてしまう shy なこだが、いえではだれよりおしゃべりだ。
255番。かれはえんげきぶにはいってひとまえでこえをだすうち、ながねんの shyness をすこしずつこくふくしていった。
256番。ながい sickness からかいふくしたせんせいがきょうしつにもどると、こくばんは「おかえりなさい」のもじでうまっていた。
257番。このパズルのルールは simple で、せつめいは30秒でおわる。だがまんてんをとるのはおそろしくむずかしい。
258番。ていでんでマイクもしょうめいもつかえない。その situation で、せんせいはまどをひらけじごえでじゅぎょうをつづけた。
259番。はじめてリンクで skate したにちは、てすりから10分間はなれられず、はなれたしゅんかんにしりもちをついた。
260番。ほうちょうの skill は1日ではみにつかない。まいにちだいどころにたちつづけたにんのてつきは、みればわかる。
261番。なつのうみでひやけとめをぬりわすれ、せなかの skin がまっかになって、みっかかんヒリヒリしつづけた。
262番。1かかげつかんヒットが1本もでない slump におちいったが、フォームをきほんからみなおしてぬけだした。
263番。げんかんをひらけたしゅんかん、カレーの smell がはなにとどいて、おなかがしょうじきになった。
264番。タイやベトナムなどの southeastern アジアのくにぐには、いちねんをとおしてきおんがたかく、べいさくりがさかんだ。
265番。じょうねつのフラメンコとサグラダファミリアでしられる Spain は、ヨーロッパのなんせいにいちする。
266番。なつやすみのさいごの3日間を、わたしはまるごとどくしょかんそうぶんに spent した。げんこうようしは7回かきなおした。
267番。えきまえのいぬの statue はまちあわせのていばんで、「どうぞうまえで5時ね」がわたしたちのあいことばだ。
268番。3時間おなじしせいでべんきょうしたら、くびとかたが stiff になって、まわすとゴリゴリとおとがした。
269番。まんいんでんしゃですわれず、もくてきちまで40分間ずっと stood していた。おりたときにはあしがぼうのようだった。
270番。こもんのせんせいは「さいごまであきらめるな」と、ホワイトボードをたたきながら strongly うったえた。
